Iteration,SNR
1,12.2528464876297
2,17.8466577544799
3,20.1902875295517
4,20.9048647245865
5,21.0236257316617
6,21.0289828260654
7,21.0174570788924
8,21.0023440277503
9,20.9898064463209
10,20.9792657682616
