NoiseLevel,SNR_SwitchMed,SNR_MedFilt2
0.1,25.7939800645996,23.4814659875248
0.2,21.7847956195012,21.1497579923613
0.3,16.7206823881414,16.9737123163931
0.4,12.5035063058414,12.879848218603
