Iteration,SNR
1,8.88132224684579
2,15.9302764354403
3,19.4450466393748
4,20.74254790766
5,21.0955905266916
6,21.2182292026957
7,21.2641480024002
8,21.2598052229793
9,21.2490568374665
10,21.2403353538778
